Date	Open	Close
2008-10-02	108.480003	104.739998
2008-10-03	105.160004	103.440002
2008-10-06	101.209999	100.620003
2008-10-07	101.5	95.650002
2008-10-08	91.510002	90.550003
2008-10-09	95.290001	89
2008-10-10	87.410004	87.75
2008-10-13	90.440002	92.209999
2008-10-14	96.419998	93.599998
2008-10-15	92.769997	88.290001
2008-10-16	89.379997	91.519997
2008-10-17	91.75	90.779999
2008-10-20	92.209999	92.510002
2008-10-21	92.220001	88.860001
2008-10-22	87	83.599998
2008-10-23	84.089996	84.349998
2008-10-24	79.269997	82.07
2008-10-27	80.269997	79.660004
2008-10-28	81.400002	87.279999
2008-10-29	87.739998	88.199997
2008-10-30	91.010002	90.690002
2008-10-31	90.900002	92.970001
2008-11-03	92.639999	92.68
2008-11-04	94.760002	93.400002
2008-11-05	92.93	89.940002
2008-11-06	87.68	85.150002
2008-11-07	85.779999	86.269997
2008-11-10	87.989998	83.870003
2008-11-11	83.25	82.739998
2008-11-12	80.730003	79.739998
2008-11-13	79.620003	84.209999
2008-11-14	82.629997	80.330002
2008-11-17	79.400002	77.480003
2008-11-18	79.129997	80.080002
2008-11-19	79.93	75.970001
2008-11-20	75	71.739998
2008-11-21	72.739998	74.879997
2008-11-24	75.739998	79.889999
2008-11-25	81.370003	80.650002
2008-11-26	79.519997	81.669998
2008-11-28	81	81.599998
2008-12-01	80.949997	76.900002
2008-12-02	77.800003	79.839996
2008-12-03	78.620003	80.669998
2008-12-04	80.029999	77.440002
2008-12-05	76.779999	80.589996
2008-12-08	82.57	84.860001
2008-12-09	83.82	82.690002
2008-12-10	83.949997	82.860001
2008-12-11	81.5	80.580002
2008-12-12	78.68	82.199997
2008-12-15	82.510002	82.769997
2008-12-16	83.110001	86.400002
2008-12-17	85.440002	85.839996
2008-12-18	85.769997	84
2008-12-19	85.220001	83.519997
2008-12-22	83.269997	81.989998
2008-12-23	82.349998	80.599998
2008-12-24	80.550003	80.519997
2008-12-26	80.93	81.330002
2008-12-29	81.720001	81.25
2008-12-30	81.830002	83.550003
2008-12-31	83.5	84.160004
2009-01-02	83.889999	87.370003
2009-01-05	86.419998	86.82
2009-01-06	87.110001	89.230003
2009-01-07	87.830002	87.790001
2009-01-08	87.809998	87.18
2009-01-09	87.050003	84.699997
2009-01-12	84.57	85.709999
2009-01-13	85.5	85.339996
2009-01-14	84.199997	83.190002
2009-01-15	83.610001	84.120003
2009-01-16	84.610001	84.919998
2009-01-20	84.760002	81.980003
2009-01-21	86.290001	91.419998
2009-01-22	89.830002	90.07
2009-01-23	88.400002	89.489998
2009-01-26	89.769997	91.599998
2009-01-27	91.769997	91.660004
2009-01-28	92.699997	94.82
2009-01-29	93.580002	92.510002
2009-01-30	92.230003	91.650002
2009-02-02	90.599998	90.93
2009-02-03	91.07	93.480003
2009-02-04	93.739998	92.830002
2009-02-05	92.129997	92.410004
2009-02-06	92.510002	96.139999
2009-02-09	95.93	96.82
2009-02-10	95.580002	93.269997
2009-02-11	93.480003	95.160004
2009-02-12	94.410004	95.07
2009-02-13	94.790001	93.839996
2009-02-17	91.730003	90.669998
2009-02-18	91.169998	91.510002
2009-02-19	91.059998	88.93
2009-02-20	88.050003	88.790001
2009-02-23	89.300003	84.370003
2009-02-24	84.629997	86.400002
2009-02-25	86	85.900002
2009-02-26	86.849998	88.970001
2009-02-27	88.120003	92.029999
2009-03-02	91.169998	89.050003
2009-03-03	90.160004	87.769997
2009-03-04	88.970001	89.489998
2009-03-05	88.129997	87.480003
2009-03-06	87.470001	85.809998
2009-03-09	84.699997	83.480003
2009-03-10	85.110001	87.25
2009-03-11	87.510002	88.620003
2009-03-12	88.589996	90.400002
2009-03-13	90.400002	90.360001
2009-03-16	91.650002	91.220001
2009-03-17	91.110001	92.910004
2009-03-18	89.459999	91.949997
2009-03-19	92.839996	92.660004
2009-03-20	93.160004	92.510002
2009-03-23	93.699997	98.709999
2009-03-24	97.690002	98.300003
2009-03-25	98.470001	97.949997
2009-03-26	98.470001	98.779999
2009-03-27	95.989998	94.150002
2009-03-30	92	94.519997
2009-03-31	94.959999	96.889999
2009-04-01	96.129997	97.610001
2009-04-02	99.150002	100.82
2009-04-03	99.730003	102.220001
2009-04-06	100.900002	101.559998
2009-04-07	100.169998	98.75
2009-04-08	99.449997	101.190002
2009-04-09	102.010002	101.699997
2009-04-13	100.279999	99.949997
2009-04-14	99.080002	99.269997
2009-04-15	98.230003	98.849998
2009-04-16	99.739998	101.43
2009-04-17	101.18	101.269997
2009-04-20	100.290001	100.43
2009-04-21	98.410004	102.309998
2009-04-22	101.169998	102.550003
2009-04-23	102.650002	101.419998
